text,label
please reserve the gym for a group fitness session on friday.,Amenity Booking
fence along property line 710 has fallen over.,Maintenance Request
air conditioning in common area 384 is not cooling properly.,Maintenance Request
Who do I contact for after-hours emergencies?,General Inquiry
I need to reserve the community room for a meeting next Tuesday.,Amenity Booking
There is unauthorized construction happening at unit 199.,Rule Violation Report
I want to appeal the architectural review board decision.,Complaint / Dispute
when is the deadline for annual assessment payment?,Dues & Payment
I would like to set up automatic payment for my monthly dues.,Dues & Payment
Can I get a receipt for my last payment of unit 769?,Dues & Payment
Pool pump at amenity area 729 stopped working.,Maintenance Request
Is there a payment plan available for overdue balances?,Dues & Payment
my neighbor at unit 972 is parking in a handicap spot without a permit.,Rule Violation Report
Please confirm my account balance for unit 764.,Dues & Payment
Loud music from unit 484 after quiet hours.,Rule Violation Report
The street light outside unit 777 has been out for a week.,Maintenance Request
Can I book the BBQ area near pool 595 for this weekend?,Amenity Booking
Broken gate at entrance 256 needs urgent repair.,Maintenance Request
Please confirm my account balance for unit 655.,Dues & Payment
The elevator in block 706 is making a loud noise.,Maintenance Request
I need to update my payment method on file.,Dues & Payment
I haven't received my invoice for this quarter yet.,Dues & Payment
I need to update my payment method on file.,Dues & Payment
I would like to set up automatic payment for my monthly dues.,Dues & Payment
A resident at building 913 is storing items in the common hallway.,Rule Violation Report
I believe I was double charged for unit 328 this month.,Dues & Payment
I WANT TO SCHEDULE THE POOL AREA FOR A PRIVATE EVENT.,Amenity Booking
Air conditioning in common area 741 is not cooling properly.,Maintenance Request
Unapproved pet over weight limit seen at unit 796.,Rule Violation Report
Pool pump at amenity area 202 stopped working.,Maintenance Request
I'd like to reserve the clubhouse for a birthday party on Saturday.,Amenity Booking
i need to reserve the community room for a meeting next tuesday.,Amenity Booking
Please confirm my account balance for unit 380.,Dues & Payment
Pool pump at amenity area 282 stopped working.,Maintenance Request
Fence along property line 701 has fallen over.,Maintenance Request
Please confirm my account balance for unit 907.,Dues & Payment
I want to appeal the architectural review board decision.,Complaint / Dispute
Can I book the BBQ area near pool 787 for this weekend?,Amenity Booking
THE ELEVATOR IN BLOCK 878 IS MAKING A LOUD NOISE.,Maintenance Request
I need to update my payment method on file.,Dues & Payment
My neighbor's tree is dropping leaves into my patio at unit 942.,Complaint / Dispute
I need to update my payment method on file.,Dues & Payment
Resident at unit 455 has installed an unauthorized satellite dish.,Rule Violation Report
WHAT IS THE PROCESS FOR GETTING A PARKING PERMIT FOR UNIT 617?,General Inquiry
How do I submit a suggestion to the HOA board?,General Inquiry
Is there a payment plan available for overdue balances?,Dues & Payment
i believe i was double charged for unit 936 this month.,Dues & Payment
I want to schedule the pool area for a private event.,Amenity Booking
I haven't received my invoice for this quarter yet.,Dues & Payment
Fence along property line 617 has fallen over.,Maintenance Request
I'd like to reserve the clubhouse for a birthday party on Saturday.,Amenity Booking
is the tennis court near area 727 available this sunday morning?,Amenity Booking
Can I get a receipt for my last payment of unit 741?,Dues & Payment
A resident at building 848 is storing items in the common hallway.,Rule Violation Report
Can I book the BBQ area near pool 459 for this weekend?,Amenity Booking
Can I get a receipt for my last payment of unit 601?,Dues & Payment
A resident at building 727 is storing items in the common hallway.,Rule Violation Report
Is the tennis court near area 892 available this Sunday morning?,Amenity Booking
Pool pump at amenity area 340 stopped working.,Maintenance Request
Resident at unit 153 has installed an unauthorized satellite dish.,Rule Violation Report
Please reserve the gym for a group fitness session on Friday.,Amenity Booking
I want to appeal the architectural review board decision.,Complaint / Dispute
The board meeting minutes do not reflect what was discussed.,Complaint / Dispute
Loud music from unit 956 after quiet hours.,Rule Violation Report
I feel the recent rule change was not communicated properly.,Complaint / Dispute
Can I book the rooftop lounge for a small gathering?,Amenity Booking
The elevator in block 642 is making a loud noise.,Maintenance Request
How do I book a guest parking spot for the weekend?,Amenity Booking
Can I get a receipt for my last payment of unit 551?,Dues & Payment
I am disputing the fine I received for unit 216 last month.,Complaint / Dispute
Is there a payment plan available for overdue balances?,Dues & Payment
There is a water leak in the common hallway near building 231.,Maintenance Request
Broken gate at entrance 267 needs urgent repair.,Maintenance Request
The street light outside unit 908 has been out for a week.,Maintenance Request
How do I obtain a copy of the community rules and regulations?,General Inquiry
FENCE ALONG PROPERTY LINE 933 HAS FALLEN OVER.,Maintenance Request
a resident at building 264 is storing items in the common hallway.,Rule Violation Report
The street light outside unit 956 has been out for a week.,Maintenance Request
i need to update my payment method on file.,Dues & Payment
Fence along property line 735 has fallen over.,Maintenance Request
Pool pump at amenity area 672 stopped working.,Maintenance Request
fence along property line 770 has fallen over.,Maintenance Request
where can i find information about the upcoming board meeting?,General Inquiry
How do I submit a suggestion to the HOA board?,General Inquiry
I would like to set up automatic payment for my monthly dues.,Dues & Payment
I want to schedule the pool area for a private event.,Amenity Booking
Smoking in non-designated area near building 727.,Rule Violation Report
I'd like to reserve the clubhouse for a birthday party on Saturday.,Amenity Booking
There is a water leak in the common hallway near building 844.,Maintenance Request
A resident at building 853 is storing items in the common hallway.,Rule Violation Report
Air conditioning in common area 392 is not cooling properly.,Maintenance Request
I want to schedule the pool area for a private event.,Amenity Booking
How do I submit a suggestion to the HOA board?,General Inquiry
My neighbor at unit 841 is parking in a handicap spot without a permit.,Rule Violation Report
Can I book the BBQ area near pool 515 for this weekend?,Amenity Booking
Resident at unit 120 has installed an unauthorized satellite dish.,Rule Violation Report
Who do I contact for after-hours emergencies?,General Inquiry
I NEED TO UPDATE MY PAYMENT METHOD ON FILE.,Dues & Payment
Unapproved pet over weight limit seen at unit 468.,Rule Violation Report
I believe I was double charged for unit 691 this month.,Dues & Payment
fence along property line 381 has fallen over.,Maintenance Request
There is a water leak in the common hallway near building 562.,Maintenance Request
i want to appeal the architectural review board decision.,Complaint / Dispute
The elevator in block 711 is making a loud noise.,Maintenance Request
i am disputing the fine i received for unit 295 last month.,Complaint / Dispute
can i get a receipt for my last payment of unit 222?,Dues & Payment
Smoking in non-designated area near building 804.,Rule Violation Report
i need to update my payment method on file.,Dues & Payment
I DISAGREE WITH THE DECISION MADE ABOUT UNIT 679 MODIFICATION.,Complaint / Dispute
Loud music from unit 178 after quiet hours.,Rule Violation Report
I want to schedule the pool area for a private event.,Amenity Booking
There is a water leak in the common hallway near building 579.,Maintenance Request
Can I get a receipt for my last payment of unit 381?,Dues & Payment
What is the process for getting a parking permit for unit 220?,General Inquiry
I'd like to reserve the clubhouse for a birthday party on Saturday.,Amenity Booking
commercial vehicle parked in residential spot near unit 190.,Rule Violation Report
I need to reserve the community room for a meeting next Tuesday.,Amenity Booking
I disagree with the decision made about unit 716 modification.,Complaint / Dispute
Loud music from unit 522 after quiet hours.,Rule Violation Report
What recycling guidelines does our community follow?,General Inquiry
Where can I find information about the upcoming board meeting?,General Inquiry
The elevator in block 457 is making a loud noise.,Maintenance Request
The parking lot lights in section 196 are not working.,Maintenance Request
When is the deadline for annual assessment payment?,Dues & Payment
I want to schedule the pool area for a private event.,Amenity Booking
HOW DO I BOOK A GUEST PARKING SPOT FOR THE WEEKEND?,Amenity Booking
i need to reserve the community room for a meeting next tuesday.,Amenity Booking
Fence along property line 720 has fallen over.,Maintenance Request
Where can I find information about the upcoming board meeting?,General Inquiry
I haven't received my invoice for this quarter yet.,Dues & Payment
The elevator in block 730 is making a loud noise.,Maintenance Request
i am disputing the fine i received for unit 306 last month.,Complaint / Dispute
I feel the recent rule change was not communicated properly.,Complaint / Dispute
can i book the rooftop lounge for a small gathering?,Amenity Booking
there is unauthorized construction happening at unit 197.,Rule Violation Report
I haven't received my invoice for this quarter yet.,Dues & Payment
Smoking in non-designated area near building 428.,Rule Violation Report
Can I get a receipt for my last payment of unit 960?,Dues & Payment
Is there a community newsletter I can subscribe to?,General Inquiry
How do I obtain a copy of the community rules and regulations?,General Inquiry
COMMERCIAL VEHICLE PARKED IN RESIDENTIAL SPOT NEAR UNIT 762.,Rule Violation Report
My neighbor at unit 968 is parking in a handicap spot without a permit.,Rule Violation Report
I want to appeal the architectural review board decision.,Complaint / Dispute
I need to update my payment method on file.,Dues & Payment
Resident at unit 673 has installed an unauthorized satellite dish.,Rule Violation Report
fence along property line 964 has fallen over.,Maintenance Request
